Rank,Article Number,Article Title,1st Author Name,Volume Number,Issue Number,Content Type,Online Publish Year,Print Publish Year,Open Access,DOI,PDF Downloads,HTML Views,Total Usage,Paper Citations To Date,Patent Citations To Date,Total Citations To Date,Author Keywords,IEEE Thesaurus Terms,URL
1,9233458,Design Methodology for Industrial Internet-of-Things Wireless Systems,Carlos Mendes da Costa,21,4,orig-research,2020,2021,Y,10.1109/JSEN.2020.3031659,15295,21833,37128,7,0,7,,Bandwidth;Design methodology;Receivers;Reliability;Wireless communication;Wireless sensor networks,https://ieeexplore.ieee.org/document/9233458
4,9420107,Blockchain-Federated-Learning and Deep Learning Models for COVID-19 Detection Using CT Imaging,Rajesh Kumar,21,14,orig-research,2021,2021,N,10.1109/JSEN.2021.3076767,6495,8649,15144,192,0,192,,COVID-19;Collaborative work;Computed tomography;Data models;Data privacy;Deep learning;Hospitals,https://ieeexplore.ieee.org/document/9420107
8,8762100,Deep Learning for Monitoring of Human Gait: A Review,Abdullah S. Alharthi,19,21,orig-research,2019,2019,Y,10.1109/JSEN.2019.2928777,5550,5026,10576,77,0,77,,Deep learning;Foot;Force;Knee;Legged locomotion;Wearable sensors,https://ieeexplore.ieee.org/document/8762100
9,8624516,3D-Printed Liquid Metal Interconnects for Stretchable Electronics,Callen Votzke,19,10,orig-research,2019,2019,N,10.1109/JSEN.2019.2894405,3183,5910,9093,48,0,48,,Conductivity;Gallium;Integrated circuit interconnections;Liquids;Solids;Strain,https://ieeexplore.ieee.org/document/8624516
11,8742529,A Review of Deep Learning Models for Time Series Prediction,Zhongyang Han,21,6,orig-research,2019,2021,N,10.1109/JSEN.2019.2923982,4665,4321,8986,110,0,110,,Artificial neural networks;Biological system modeling;Data models;Deep learning;Predictive models;Support vector machines;Time series analysis,https://ieeexplore.ieee.org/document/8742529
15,8337739,Low-Cost Turbidity Sensor for Low-Power Wireless Monitoring of Fresh-Water Courses,Youchao Wang,18,11,orig-research,2018,2018,Y,10.1109/JSEN.2018.2826778,3424,4703,8127,55,0,55,,Calibration;Light sources;Monitoring;Phototransistors;Sensor systems;Wireless sensor networks,https://ieeexplore.ieee.org/document/8337739
17,8957313,Fusion of 3D LIDAR and Camera Data for Object Detection in Autonomous Vehicle Applications,Xiangmo Zhao,20,9,orig-research,2020,2020,N,10.1109/JSEN.2020.2966034,3460,4128,7588,130,1,131,,Cameras;Feature extraction;Laser radar;Object detection;Proposals;Sensors;Three-dimensional displays,https://ieeexplore.ieee.org/document/8957313
19,9462908,MEMS Gas Sensors: A Review,Muhammad Izzudin Ahmad Asri,21,17,orig-research,2021,2021,N,10.1109/JSEN.2021.3091854,3049,4179,7228,52,0,52,,Chemical sensors;Gas detectors;Gases;Micromechanical devices;Optical sensors;Sensitivity;Sensors,https://ieeexplore.ieee.org/document/9462908
20,8772197,Developing Next-Generation Brain Sensing Technologies?A Review,Jacob T. Robinson,19,22,orig-research,2019,2019,Y,10.1109/JSEN.2019.2931159,4043,3172,7215,21,0,21,,Capacitance;Electrodes;Impedance;Neurons;Optical sensors;Surface topography,https://ieeexplore.ieee.org/document/8772197
21,9149885,Impedance and Noise of Passive and Active Dry EEG Electrodes: A Review,Erwin Habibzadeh Tonekabony Shad,20,24,orig-research,2020,2020,Y,10.1109/JSEN.2020.3012394,3341,3627,6968,58,0,58,,Electrodes;Electroencephalography;Epidermis;Impedance;Scalp;Sensors,https://ieeexplore.ieee.org/document/9149885
23,9912325,Machine Learning for Microcontroller-Class Hardware: A Review,Swapnil Sayan Saha,22,22,orig-research,2022,2022,N,10.1109/JSEN.2022.3210773,2832,3737,6569,23,0,23,,Computational modeling;Data models;Hardware;Mathematical models;Microcontrollers;Random access memory;Sensors,https://ieeexplore.ieee.org/document/9912325
24,8581469,A Novel Closed Loop Current Sensor Based on a Circular Array of Magnetic Field Sensors,Roland Weiss,19,7,orig-research,2018,2019,N,10.1109/JSEN.2018.2887302,3353,3071,6424,47,0,47,,Magnetic fields;Magnetic sensors;Sensitivity;Sensor arrays;Temperature measurement;Temperature sensors,https://ieeexplore.ieee.org/document/8581469
26,9529213,Bioimpedance Sensors: A Tutorial,Panagiotis Kassanos,21,20,tutorial,2021,2021,Y,10.1109/JSEN.2021.3110283,3061,3127,6188,16,0,16,,Bioimpedance;Biosensors;Electrodes;Frequency measurement;Impedance;Impedance measurement;Tutorials;Voltage measurement,https://ieeexplore.ieee.org/document/9529213
27,8896015,A Machine Learning Approach to Road Surface Anomaly Assessment Using Smartphone Sensors,Akanksh Basavaraju,20,5,orig-research,2019,2020,Y,10.1109/JSEN.2019.2952857,3277,2860,6137,71,0,71,,Accelerometers;Inspection;Machine learning;Manuals;Roads;Sensors;Vibrations,https://ieeexplore.ieee.org/document/8896015
28,8300506,Latern: Dynamic Continuous Hand Gesture Recognition Using FMCW Radar Sensor,Zhenyuan Zhang,18,8,orig-research,2018,2018,N,10.1109/JSEN.2018.2808688,3134,2994,6128,216,0,216,,Doppler radar;Feature extraction;Gesture recognition;Heuristic algorithms;Hidden Markov models;Sensors,https://ieeexplore.ieee.org/document/8300506
29,9389739,Human Activity Recognition With Smartphone and Wearable Sensors Using Deep Learning Techniques: A Review,E. Ramanujam,21,12,orig-research,2021,2021,N,10.1109/JSEN.2021.3069927,2839,3231,6070,118,0,118,,Activity recognition;Benchmark testing;Computational modeling;Deep learning;Feature extraction;Sensors;Wearable sensors,https://ieeexplore.ieee.org/document/9389739
32,9093890,"A Wearable, Multimodal Sensing System to Monitor Knee Joint Health",Caitlin N. Teague,20,18,orig-research,2020,2020,N,10.1109/JSEN.2020.2994552,2584,3297,5881,41,0,41,,Biomedical monitoring;Low pass filters;Microcontrollers;Microphones;Monitoring;Temperature sensors,https://ieeexplore.ieee.org/document/9093890
34,8976132,Printed Temperature Sensor Based on PEDOT: PSS-Graphene Oxide Composite,Mahesh Soni,20,14,orig-research,2020,2020,Y,10.1109/JSEN.2020.2969667,2687,3042,5729,98,0,98,,Resistance;Robot sensing systems;Sensor phenomena and characterization;Temperature measurement;Temperature sensors,https://ieeexplore.ieee.org/document/8976132
36,8703846,Heart Rate Estimation From Wrist-Worn Photoplethysmography: A Review,Dwaipayan Biswas,19,16,orig-research,2019,2019,N,10.1109/JSEN.2019.2914166,2795,2822,5617,131,0,131,,Blood;Electrocardiography;Estimation;Heart rate;Sensors;Skin;Wrist,https://ieeexplore.ieee.org/document/8703846
37,9181591,Deep 3D Object Detection Networks Using LiDAR Data: A Review,Yutian Wu,21,2,orig-research,2020,2021,N,10.1109/JSEN.2020.3020626,2736,2875,5611,49,0,49,,Distance measurement;Imaging;Laser radar;Machine learning;Object detection;Sensors;Three-dimensional displays,https://ieeexplore.ieee.org/document/9181591
38,9355179,Portable Sensing Devices for Detection of COVID-19: A Review,Deniz Sadighbayan,21,9,orig-research,2021,2021,N,10.1109/JSEN.2021.3059970,2101,3445,5546,23,0,23,,Biosensors;COVID-19;DNA;Electrodes;Proteins;Sensors;Viruses (medical),https://ieeexplore.ieee.org/document/9355179
40,9789967,Precise Detection and Quantitative Prediction of Blood Glucose Level With an Electronic Nose System,Zhenyi Ye,22,13,orig-research,2022,2022,N,10.1109/JSEN.2022.3178996,2229,3125,5354,6,0,6,,Blood;Gas detectors;Glucose;Particle measurements;Sensor arrays;Sensors;Temperature measurement,https://ieeexplore.ieee.org/document/9789967
41,10071997,A Self-Temperature-Modulated Quadrilateral Gas Sensor for Gas Identification,Ruichen Liu,23,8,orig-research,2023,2023,N,10.1109/JSEN.2023.3255210,1857,3461,5318,0,0,0,,Electrodes;Gas detectors;Heating systems;Sensor arrays;Sensors;Temperature;Temperature sensors,https://ieeexplore.ieee.org/document/10071997
42,9761843,MS-YOLO: Object Detection Based on YOLOv5 Optimized Fusion Millimeter-Wave Radar and Machine Vision,Yunyun Song,22,15,orig-research,2022,2022,Y,10.1109/JSEN.2022.3167251,2824,2474,5298,13,0,13,,Intelligent sensors;Millimeter wave radar;Object detection;Radar detection;Radar imaging;Sensor phenomena and characterization;Sensors,https://ieeexplore.ieee.org/document/9761843
43,9130759,Continuous Human Activity Classification From FMCW Radar With Bi-LSTM Networks,Aman Shrestha,20,22,orig-research,2020,2020,Y,10.1109/JSEN.2020.3006386,2548,2327,4875,100,0,100,,Doppler radar;Monitoring;Radar imaging;Spectrogram;Wearable sensors,https://ieeexplore.ieee.org/document/9130759
44,9261382,Data Processing Approaches on SPAD-Based d-TOF LiDAR Systems: A Review,Gongbo Chen,21,5,orig-research,2020,2021,Y,10.1109/JSEN.2020.3038487,2719,2144,4863,22,0,22,,Data processing;Laser radar;Measurement by laser beam;Photonics;Sensor phenomena and characterization;Sensors;Single-photon avalanche diodes,https://ieeexplore.ieee.org/document/9261382
45,9274366,"Multi-Object Detection and Tracking, Based on DNN, for Autonomous Vehicles: A Review",Ratheesh Ravindran,21,5,orig-research,2020,2021,N,10.1109/JSEN.2020.3041615,2237,2613,4850,55,0,55,,Autonomous vehicles;Cameras;Deep learning;Laser radar;Object detection;Object tracking;Radar;Sensor fusion,https://ieeexplore.ieee.org/document/9274366
46,9664527,"Embedded Sensors, Communication Technologies, Computing Platforms and Machine Learning for UAVs: A Review",A. N. Wilson,22,3,orig-research,2021,2022,N,10.1109/JSEN.2021.3139124,2155,2674,4829,27,0,27,,Autonomous aerial vehicles;Cameras;Hardware;Machine learning algorithms;Sensors;Software;Thermal sensors,https://ieeexplore.ieee.org/document/9664527
47,9174823,Wearable Sensors for Real-Time Kinematics Analysis in Sports: A Review,Manju Rana,21,2,orig-research,2020,2021,N,10.1109/JSEN.2020.3019016,2465,2335,4800,85,0,85,,Gyroscopes;Magnetic sensors;Sensor fusion;Sensor systems;Wearable sensors,https://ieeexplore.ieee.org/document/9174823
